N,button_coverage,dead_repeat_rate,family,file,game,length,level,longest_streak,mean_first_try,nochange_rate,novel_alt_frac,novel_frac,outcome,retry,run,solved,valid_coverage
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p0_events.jsonl,tn36,61,1,2,,0.0,0.9,0.7,died,0,arc3-job1-control,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p0_events.jsonl,tn36,61,1,12,,0.0,0.5,0.35,died,0,arc3-job1-control,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p0_events.jsonl,tn36,61,1,32,,0.0,0.25,0.175,died,0,arc3-job1-control,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p0_events.jsonl,tn36,61,1,,,,,,died,,arc3-job1-control,False,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p0_events.jsonl,tn36,61,1,10,,0.0,0.3,0.1,died,2,arc3-job1-control,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p0_events.jsonl,tn36,61,1,20,,0.0,0.2,0.05,died,2,arc3-job1-control,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p0_events.jsonl,tn36,61,1,31,,0.0,0.25,0.225,died,2,arc3-job1-control,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p0_events.jsonl,tn36,61,1,,,,,,died,,arc3-job1-control,False,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p0_events.jsonl,tn36,61,1,4,,0.0,0.2,0.4,died,4,arc3-job1-control,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p0_events.jsonl,tn36,61,1,4,,0.0,0.15,0.3,died,4,arc3-job1-control,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p0_events.jsonl,tn36,61,1,4,,0.0,0.1,0.175,died,4,arc3-job1-control,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p0_events.jsonl,tn36,61,1,,,,,,died,,arc3-job1-control,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p0_events.jsonl,tn36,9,1,,,,,,solved,,arc3-job1-control,True,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p0_events.jsonl,tn36,38,2,2,,0.0,0.7,0.8,solved,0,arc3-job1-control,True,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p0_events.jsonl,tn36,38,2,2,,0.0,0.45,0.8,solved,0,arc3-job1-control,True,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p0_events.jsonl,tn36,38,2,,,,,,solved,,arc3-job1-control,True,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,3,,0.0,0.7,0.8,died,0,arc3-job1-control,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,5,,0.0,0.4,0.45,died,0,arc3-job1-control,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,7,,0.0,0.225,0.3,died,0,arc3-job1-control,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,,,,,,died,,arc3-job1-control,False,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,1,,0.0,0.3,0.6,died,2,arc3-job1-control,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,1,,0.0,0.2,0.5,died,2,arc3-job1-control,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,1,,0.0,0.1,0.25,died,2,arc3-job1-control,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,,,,,,died,,arc3-job1-control,False,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,1,,0.0,0.4,0.7,died,4,arc3-job1-control,False,
