ts_utc,gpu_util_pct,gpu_mem_used_mib,gpu_mem_total_mib,gpu_power_w,cpu_util_pct,mem_used_mib,mem_total_mib
2026-07-19T02:18:45Z,0,0,97887,47.20,0.1,4307,181114
2026-07-19T02:19:05Z,0,0,97887,47.19,0.1,4312,181114
2026-07-19T02:19:25Z,0,0,97887,47.20,0.0,4315,181114
2026-07-19T02:19:45Z,0,0,97887,47.19,0.1,4328,181114
2026-07-19T02:20:05Z,0,0,97887,47.20,0.0,4322,181114
2026-07-19T02:20:25Z,0,0,97887,47.21,0.0,4323,181114
2026-07-19T02:20:45Z,0,0,97887,47.18,0.1,4326,181114
2026-07-19T02:21:05Z,0,0,97887,47.19,0.1,4316,181114
2026-07-19T02:21:25Z,0,0,97887,47.20,0.0,4314,181114
2026-07-19T02:21:45Z,0,0,97887,47.19,0.1,4294,181114
2026-07-19T02:22:05Z,0,0,97887,47.22,0.0,4307,181114
2026-07-19T02:22:25Z,0,0,97887,47.21,0.0,4307,181114
2026-07-19T02:22:45Z,0,0,97887,47.22,0.1,4313,181114
2026-07-19T02:23:05Z,0,0,97887,47.19,0.1,4338,181114
2026-07-19T02:23:25Z,0,0,97887,47.20,0.0,4322,181114
2026-07-19T02:23:45Z,0,0,97887,47.18,0.1,4307,181114
2026-07-19T02:24:05Z,0,0,97887,47.17,0.0,4311,181114
2026-07-19T02:24:25Z,0,0,97887,47.18,0.0,4317,181114
2026-07-19T02:24:45Z,0,0,97887,47.19,0.1,4329,181114
2026-07-19T02:25:05Z,0,0,97887,47.18,0.1,4319,181114
2026-07-19T02:25:25Z,0,0,97887,47.22,0.0,4316,181114
2026-07-19T02:25:45Z,0,0,97887,47.20,0.1,4308,181114
2026-07-19T02:26:05Z,0,0,97887,47.19,0.0,4304,181114
2026-07-19T02:26:25Z,0,0,97887,47.21,0.0,4306,181114
2026-07-19T02:26:45Z,0,0,97887,47.22,0.1,4305,181114
2026-07-19T02:27:05Z,0,0,97887,47.20,0.1,4298,181114
2026-07-19T02:27:26Z,0,0,97887,47.18,0.0,4299,181114
2026-07-19T02:27:46Z,0,0,97887,47.21,0.1,4289,181114
2026-07-19T02:28:06Z,0,0,97887,47.19,0.0,4295,181114
2026-07-19T02:28:26Z,0,0,97887,47.17,0.0,4291,181114
2026-07-19T02:28:46Z,0,0,97887,47.21,0.1,4301,181114
2026-07-19T02:29:06Z,0,0,97887,47.17,0.1,4334,181114
2026-07-19T02:29:26Z,0,0,97887,47.20,0.0,4317,181114
2026-07-19T02:29:46Z,0,0,97887,47.17,0.1,4330,181114
2026-07-19T02:30:06Z,0,0,97887,47.19,0.0,4311,181114
2026-07-19T02:30:26Z,0,0,97887,47.18,0.0,4309,181114
2026-07-19T02:30:46Z,0,0,97887,47.22,0.1,4323,181114
2026-07-19T02:31:06Z,0,0,97887,47.17,0.1,4321,181114
2026-07-19T02:31:26Z,0,0,97887,47.18,0.0,4310,181114
2026-07-19T02:31:46Z,0,0,97887,47.20,0.1,4314,181114
2026-07-19T02:32:06Z,0,0,97887,47.18,0.0,4298,181114
2026-07-19T02:32:26Z,0,0,97887,47.18,0.0,4301,181114
2026-07-19T02:32:46Z,0,0,97887,47.18,0.1,4330,181114
2026-07-19T02:33:06Z,0,0,97887,47.17,0.1,4316,181114
2026-07-19T02:33:26Z,0,0,97887,47.22,0.0,4309,181114
2026-07-19T02:33:46Z,0,0,97887,47.22,0.1,4293,181114
2026-07-19T02:34:06Z,0,0,97887,47.22,0.0,4289,181114
2026-07-19T02:34:26Z,0,0,97887,47.22,0.0,4297,181114
2026-07-19T02:34:46Z,0,0,97887,47.22,0.1,4307,181114
2026-07-19T02:35:06Z,0,0,97887,47.22,0.1,4319,181114
2026-07-19T02:35:26Z,0,0,97887,47.20,0.0,4324,181114
2026-07-19T02:35:46Z,0,0,97887,47.21,0.1,4332,181114
2026-07-19T02:36:06Z,0,0,97887,47.22,0.0,4320,181114
2026-07-19T02:36:26Z,0,0,97887,47.22,0.0,4322,181114
2026-07-19T02:36:46Z,0,0,97887,47.19,0.1,4327,181114
2026-07-19T02:37:06Z,0,0,97887,47.20,0.1,4345,181114
2026-07-19T02:37:26Z,0,0,97887,47.22,0.0,4314,181114
2026-07-19T02:37:46Z,0,0,97887,47.21,0.1,4302,181114
2026-07-19T02:38:06Z,0,0,97887,47.17,0.0,4293,181114
2026-07-19T02:38:26Z,0,0,97887,47.22,0.0,4300,181114
2026-07-19T02:38:46Z,0,0,97887,47.21,0.1,4328,181114
2026-07-19T02:39:07Z,0,0,97887,47.21,0.1,4341,181114
2026-07-19T02:39:27Z,0,0,97887,47.17,0.0,4313,181114
2026-07-19T02:39:47Z,0,0,97887,47.20,0.1,4342,181114
2026-07-19T02:40:07Z,0,0,97887,47.19,0.0,4321,181114
2026-07-19T02:40:27Z,0,0,97887,47.20,0.0,4318,181114
2026-07-19T02:40:47Z,0,0,97887,47.21,0.1,4323,181114
2026-07-19T02:41:07Z,0,0,97887,47.22,0.1,4365,181114
2026-07-19T02:41:27Z,0,0,97887,47.19,0.0,4343,181114
2026-07-19T02:41:47Z,0,0,97887,47.19,0.1,4376,181114
2026-07-19T02:42:07Z,0,0,97887,47.20,0.0,4332,181114
2026-07-19T02:42:27Z,0,0,97887,47.20,0.0,4312,181114
2026-07-19T02:42:47Z,0,0,97887,47.22,0.1,4302,181114
2026-07-19T02:43:07Z,0,0,97887,47.22,0.1,4336,181114
2026-07-19T02:43:27Z,0,0,97887,47.20,0.0,4315,181114
2026-07-19T02:43:47Z,0,0,97887,47.18,0.1,4319,181114
2026-07-19T02:44:07Z,0,0,97887,47.20,0.1,4324,181114
2026-07-19T02:44:27Z,0,0,97887,47.20,0.0,4318,181114
2026-07-19T02:44:47Z,0,0,97887,47.23,0.1,4418,181114
2026-07-19T02:45:07Z,0,0,97887,47.18,0.1,4362,181114
2026-07-19T02:45:27Z,0,0,97887,47.21,0.0,4359,181114
2026-07-19T02:45:47Z,0,0,97887,47.23,0.0,4345,181114
2026-07-19T02:46:07Z,0,0,97887,47.22,0.1,4322,181114
2026-07-19T02:46:27Z,0,0,97887,47.19,0.0,4322,181114
2026-07-19T02:46:47Z,0,0,97887,47.22,0.0,4328,181114
2026-07-19T02:47:07Z,0,0,97887,47.19,0.2,4347,181114
2026-07-19T02:47:27Z,0,0,97887,47.22,0.0,4326,181114
2026-07-19T02:47:47Z,0,0,97887,47.22,0.0,4325,181114
2026-07-19T02:48:07Z,0,0,97887,47.19,0.1,4317,181114
2026-07-19T02:48:27Z,0,0,97887,47.19,0.0,4316,181114
2026-07-19T02:48:47Z,0,0,97887,47.18,0.0,4327,181114
2026-07-19T02:49:07Z,0,0,97887,47.19,0.2,4375,181114
2026-07-19T02:49:27Z,0,0,97887,47.20,0.0,4330,181114
2026-07-19T02:49:47Z,0,0,97887,47.19,0.0,4325,181114
2026-07-19T02:50:07Z,0,0,97887,47.20,0.1,4314,181114
2026-07-19T02:50:27Z,0,0,97887,47.18,0.0,4318,181114
2026-07-19T02:50:48Z,0,0,97887,47.19,0.0,4314,181114
2026-07-19T02:51:08Z,0,0,97887,47.21,0.2,4380,181114
2026-07-19T02:51:28Z,0,0,97887,47.17,0.0,4339,181114
2026-07-19T02:51:48Z,0,0,97887,47.19,0.0,4316,181114
2026-07-19T02:52:08Z,0,0,97887,47.20,0.1,4323,181114
2026-07-19T02:52:28Z,0,0,97887,47.19,0.0,4306,181114
2026-07-19T02:52:48Z,0,0,97887,47.18,0.0,4312,181114
2026-07-19T02:53:08Z,0,0,97887,47.18,0.1,4329,181114
2026-07-19T02:53:28Z,0,0,97887,47.19,0.1,4351,181114
2026-07-19T02:53:48Z,0,0,97887,47.21,0.0,4330,181114
2026-07-19T02:54:08Z,0,0,97887,47.18,0.1,4313,181114
2026-07-19T02:54:28Z,0,0,97887,47.18,0.0,4306,181114
2026-07-19T02:54:48Z,0,0,97887,47.19,0.0,4316,181114
2026-07-19T02:55:08Z,0,0,97887,47.17,0.1,4342,181114
2026-07-19T02:55:28Z,0,0,97887,47.22,0.1,4321,181114
2026-07-19T02:55:48Z,0,0,97887,47.19,0.0,4325,181114
2026-07-19T02:56:08Z,0,0,97887,47.17,0.1,4329,181114
2026-07-19T02:56:28Z,0,0,97887,47.19,0.0,4314,181114
2026-07-19T02:56:48Z,0,0,97887,47.20,0.0,4314,181114
2026-07-19T02:57:08Z,0,0,97887,47.21,0.1,4332,181114
2026-07-19T02:57:28Z,0,0,97887,47.19,0.1,4368,181114
2026-07-19T02:57:48Z,0,0,97887,47.18,0.0,4350,181114
2026-07-19T02:58:08Z,0,0,97887,47.20,0.1,4338,181114
2026-07-19T02:58:28Z,0,0,97887,47.18,0.0,4328,181114
2026-07-19T02:58:48Z,0,0,97887,47.21,0.0,4313,181114
2026-07-19T02:59:08Z,0,0,97887,47.19,0.1,4342,181114
2026-07-19T02:59:28Z,0,0,97887,47.21,0.1,4339,181114
2026-07-19T02:59:48Z,0,0,97887,47.17,0.0,4338,181114
2026-07-19T03:00:08Z,0,0,97887,47.20,0.1,4331,181114
2026-07-19T03:00:28Z,0,0,97887,47.18,0.0,4331,181114
2026-07-19T03:00:48Z,0,0,97887,47.19,0.0,4327,181114
2026-07-19T03:01:08Z,0,0,97887,47.20,0.1,4336,181114
2026-07-19T03:01:28Z,0,0,97887,47.19,0.1,4350,181114
2026-07-19T03:01:48Z,0,0,97887,47.18,0.0,4321,181114
2026-07-19T03:02:08Z,0,0,97887,47.18,0.1,4327,181114
2026-07-19T03:02:28Z,0,0,97887,47.18,0.0,4312,181114
2026-07-19T03:02:49Z,0,0,97887,47.21,0.0,4311,181114
2026-07-19T03:03:09Z,0,0,97887,47.18,0.1,4317,181114
2026-07-19T03:03:29Z,0,0,97887,47.22,0.1,4327,181114
2026-07-19T03:03:49Z,0,0,97887,47.19,0.0,4334,181114
2026-07-19T03:04:09Z,0,0,97887,47.21,0.1,4331,181114
2026-07-19T03:04:29Z,0,0,97887,47.21,0.0,4329,181114
2026-07-19T03:04:49Z,0,0,97887,47.21,0.0,4317,181114
2026-07-19T03:05:09Z,0,0,97887,47.19,0.1,4312,181114
2026-07-19T03:05:29Z,0,0,97887,47.17,0.1,4354,181114
2026-07-19T03:05:49Z,0,0,97887,47.18,0.0,4325,181114
2026-07-19T03:06:09Z,0,0,97887,47.19,0.1,4353,181114
2026-07-19T03:06:29Z,0,0,97887,47.20,0.0,4326,181114
2026-07-19T03:06:49Z,0,0,97887,47.18,0.0,4315,181114
2026-07-19T03:07:09Z,0,0,97887,47.17,0.1,4337,181114
2026-07-19T03:07:29Z,0,0,97887,47.19,0.1,4333,181114
2026-07-19T03:07:49Z,0,0,97887,47.18,0.0,4324,181114
2026-07-19T03:08:09Z,0,0,97887,47.18,0.1,4328,181114
2026-07-19T03:08:29Z,0,0,97887,47.18,0.0,4298,181114
2026-07-19T03:08:49Z,0,0,97887,47.19,0.0,4287,181114
2026-07-19T03:09:09Z,0,0,97887,47.19,0.1,4298,181114
2026-07-19T03:09:29Z,0,0,97887,47.20,0.1,4323,181114
2026-07-19T03:09:49Z,0,0,97887,47.18,0.0,4326,181114
2026-07-19T03:10:09Z,0,0,97887,47.19,0.1,4406,181114
2026-07-19T03:10:29Z,0,0,97887,47.19,0.0,4313,181114
2026-07-19T03:10:49Z,0,0,97887,47.19,0.0,4304,181114
2026-07-19T03:11:09Z,0,0,97887,47.17,0.1,4308,181114
2026-07-19T03:11:29Z,0,0,97887,47.20,0.1,4348,181114
2026-07-19T03:11:49Z,0,0,97887,47.18,0.0,4320,181114
2026-07-19T03:12:09Z,0,0,97887,47.20,0.1,4317,181114
2026-07-19T03:12:29Z,0,0,97887,47.17,0.1,4306,181114
2026-07-19T03:12:49Z,0,0,97887,47.18,0.0,4314,181114
2026-07-19T03:13:09Z,0,0,97887,47.18,0.1,4311,181114
2026-07-19T03:13:29Z,0,0,97887,47.18,0.1,4329,181114
